t_wall_iso,t_elapsed_s,frame_ag_two,cumulativeRewardAgent,cumulativeRewardAverage_two,epsilon_two,hits_counter,episodes
2025-11-18T10:54:13,124.927,23355,-0.9039174703255869,-0.9025267955303617,0.97687954,0,107
2025-11-18T10:54:13,125.45,23486,-0.9437670943857372,-0.9039263135633305,0.97674985,0,108
2025-11-18T10:54:14,125.981,23617,-0.9039174703255869,-0.9038511255934057,0.97662016,0,109
2025-11-18T10:54:17,128.778,24268,-0.8110719269562644,-0.902524173919111,0.97597567,1,110
2025-11-18T10:54:21,133.462,24398,-0.9336765146368191,-0.903775783705691,0.97584697,0,111
2025-11-18T10:54:22,134.057,24529,-0.9061731094233313,-0.9037502197959165,0.97571728,0,112
2025-11-18T10:54:25,136.786,25180,-0.8038152910888484,-0.902752359440136,0.97507279,1,113
2025-11-18T10:54:25,137.305,25311,-0.9061731094233313,-0.9027028892977756,0.9749431,0,114
2025-11-18T10:54:26,137.826,25442,-0.9437670943857372,-0.9027780772677003,0.97481341,0,115
2025-11-18T10:54:30,142.418,25572,-0.9261577176443379,-0.9028532652376253,0.97468471,0,116
2025-11-18T10:54:31,142.943,25703,-0.9039174703255869,-0.902755520876723,0.97455502,0,117
2025-11-18T10:54:31,143.46,25834,-0.9336765146368191,-0.902680332906798,0.97442533,0,118
2025-11-18T10:54:32,143.98,25965,-0.9336765146368191,-0.9029555208767228,0.97429564,0,119
2025-11-18T10:54:32,144.509,26096,-0.9136765146368191,-0.9028275474100608,0.97416595,0,120
2025-11-18T10:54:37,149.102,26226,-0.9212107034082937,-0.9026277013278506,0.97403725,0,121
2025-11-18T10:54:40,151.72,26877,-0.8310719269562644,-0.9016511255934057,0.97339276,1,122
2025-11-18T10:54:40,152.248,27008,-0.8861731094233313,-0.9023468842278782,0.97326307,0,123
2025-11-18T10:54:41,152.778,27139,-0.9136919064158124,-0.9024477900253673,0.97313338,0,124
2025-11-18T10:54:41,153.329,27270,-0.9437670943857372,-0.9026733539351417,0.97300369,0,125
2025-11-18T10:54:46,157.921,27400,-0.9362482973932561,-0.902598165965217,0.97287499,0,126
